"Step","CFR_300r_1e_FAWE - local_eval_accuracy","CFR_300r_1e_FAWE - local_eval_accuracy__MIN","CFR_300r_1e_FAWE - local_eval_accuracy__MAX"
"833","0.8784","0.8784","0.8784"
"836","0.8848","0.8848","0.8848"
"838","0.8836","0.8836","0.8836"
"841","0.8804","0.8804","0.8804"
"843","0.8852","0.8852","0.8852"
"846","0.8864","0.8864","0.8864"
"848","0.88","0.88","0.88"
"851","0.8872","0.8872","0.8872"
"853","0.8712","0.8712","0.8712"
"856","0.8888","0.8888","0.8888"
"858","0.8852","0.8852","0.8852"
"861","0.8904","0.8904","0.8904"
"863","0.8812","0.8812","0.8812"
"866","0.8876","0.8876","0.8876"
"868","0.8868","0.8868","0.8868"
"871","0.8956","0.8956","0.8956"
"873","0.888","0.888","0.888"
"876","0.8936","0.8936","0.8936"
"878","0.8856","0.8856","0.8856"
"881","0.882","0.882","0.882"
"883","0.8824","0.8824","0.8824"
"886","0.8936","0.8936","0.8936"
"888","0.8828","0.8828","0.8828"
"891","0.8904","0.8904","0.8904"
"893","0.8932","0.8932","0.8932"
"896","0.8896","0.8896","0.8896"
"898","0.8788","0.8788","0.8788"
"901","0.884","0.884","0.884"
"903","0.8844","0.8844","0.8844"
"906","0.8912","0.8912","0.8912"
"908","0.8892","0.8892","0.8892"
"911","0.884","0.884","0.884"
"913","0.8888","0.8888","0.8888"
"916","0.8892","0.8892","0.8892"
"918","0.8832","0.8832","0.8832"
"921","0.8828","0.8828","0.8828"
"923","0.8916","0.8916","0.8916"
"926","0.8904","0.8904","0.8904"
"928","0.894","0.894","0.894"
"931","0.882","0.882","0.882"
"933","0.8908","0.8908","0.8908"
"936","0.8896","0.8896","0.8896"
"938","0.8852","0.8852","0.8852"
"941","0.8884","0.8884","0.8884"
"943","0.896","0.896","0.896"
"946","0.894","0.894","0.894"
"948","0.8792","0.8792","0.8792"
"951","0.8944","0.8944","0.8944"
"953","0.8824","0.8824","0.8824"
"956","0.892","0.892","0.892"
"958","0.8908","0.8908","0.8908"
"961","0.8976","0.8976","0.8976"
"963","0.8812","0.8812","0.8812"
"966","0.8916","0.8916","0.8916"
"968","0.8928","0.8928","0.8928"
"971","0.8944","0.8944","0.8944"
"973","0.8868","0.8868","0.8868"
"976","0.8916","0.8916","0.8916"
"978","0.8888","0.8888","0.8888"
"981","0.892","0.892","0.892"
"983","0.8876","0.8876","0.8876"
"986","0.8848","0.8848","0.8848"
"988","0.8864","0.8864","0.8864"
"991","0.8912","0.8912","0.8912"
"993","0.8776","0.8776","0.8776"
"996","0.8952","0.8952","0.8952"
"998","0.8816","0.8816","0.8816"
"1001","0.8928","0.8928","0.8928"
"1003","0.8832","0.8832","0.8832"
"1006","0.8908","0.8908","0.8908"
"1008","0.8868","0.8868","0.8868"
"1011","0.8904","0.8904","0.8904"
"1013","0.8796","0.8796","0.8796"
"1016","0.8904","0.8904","0.8904"
"1018","0.8848","0.8848","0.8848"
"1021","0.8896","0.8896","0.8896"
"1023","0.8988","0.8988","0.8988"
"1026","0.9","0.9","0.9"
"1028","0.8888","0.8888","0.8888"
"1031","0.8912","0.8912","0.8912"
"1033","0.8864","0.8864","0.8864"
"1036","0.8892","0.8892","0.8892"
"1038","0.886","0.886","0.886"
"1041","0.888","0.888","0.888"
"1043","0.8848","0.8848","0.8848"
"1046","0.892","0.892","0.892"
"1048","0.8912","0.8912","0.8912"
"1051","0.896","0.896","0.896"
"1053","0.8964","0.8964","0.8964"
"1056","0.898","0.898","0.898"
"1058","0.89","0.89","0.89"
"1061","0.8952","0.8952","0.8952"
"1063","0.8896","0.8896","0.8896"
"1066","0.8952","0.8952","0.8952"
"1068","0.8884","0.8884","0.8884"
"1071","0.8956","0.8956","0.8956"
"1073","0.8908","0.8908","0.8908"
"1076","0.8912","0.8912","0.8912"
"1078","0.8964","0.8964","0.8964"
"1081","0.8932","0.8932","0.8932"
"1083","0.8896","0.8896","0.8896"
"1086","0.9008","0.9008","0.9008"
"1088","0.892","0.892","0.892"
"1091","0.8892","0.8892","0.8892"
"1093","0.8964","0.8964","0.8964"
"1096","0.8924","0.8924","0.8924"
"1098","0.8948","0.8948","0.8948"
"1101","0.9016","0.9016","0.9016"
"1103","0.886","0.886","0.886"
"1106","0.9016","0.9016","0.9016"
"1108","0.8904","0.8904","0.8904"
"1111","0.8916","0.8916","0.8916"
"1113","0.8968","0.8968","0.8968"
"1116","0.9028","0.9028","0.9028"
"1118","0.8948","0.8948","0.8948"
"1121","0.8984","0.8984","0.8984"
"1123","0.8924","0.8924","0.8924"
"1126","0.8812","0.8812","0.8812"
"1128","0.8852","0.8852","0.8852"
"1131","0.9016","0.9016","0.9016"
"1133","0.8864","0.8864","0.8864"
"1136","0.9004","0.9004","0.9004"
"1138","0.8852","0.8852","0.8852"
"1141","0.8952","0.8952","0.8952"
"1143","0.8904","0.8904","0.8904"
"1146","0.892","0.892","0.892"
"1148","0.8844","0.8844","0.8844"
"1151","0.8888","0.8888","0.8888"
"1153","0.8936","0.8936","0.8936"
"1156","0.8976","0.8976","0.8976"
"1158","0.8796","0.8796","0.8796"
"1161","0.8968","0.8968","0.8968"
"1163","0.9036","0.9036","0.9036"
"1166","0.8988","0.8988","0.8988"
"1168","0.896","0.896","0.896"
"1171","0.8968","0.8968","0.8968"
"1173","0.8932","0.8932","0.8932"
"1176","0.8908","0.8908","0.8908"
"1178","0.9","0.9","0.9"
"1181","0.8888","0.8888","0.8888"
"1183","0.89","0.89","0.89"
"1186","0.8944","0.8944","0.8944"
"1188","0.8964","0.8964","0.8964"
"1191","0.8908","0.8908","0.8908"
"1193","0.8848","0.8848","0.8848"
"1196","0.892","0.892","0.892"
"1198","0.8932","0.8932","0.8932"
"1201","0.9","0.9","0.9"
"1203","0.8932","0.8932","0.8932"
"1206","0.8956","0.8956","0.8956"
"1208","0.8916","0.8916","0.8916"
"1211","0.9048","0.9048","0.9048"
"1213","0.8912","0.8912","0.8912"
"1216","0.898","0.898","0.898"
"1218","0.8936","0.8936","0.8936"
"1221","0.8912","0.8912","0.8912"
"1223","0.8896","0.8896","0.8896"
"1226","0.8924","0.8924","0.8924"
"1228","0.8852","0.8852","0.8852"
"1231","0.894","0.894","0.894"
"1233","0.8904","0.8904","0.8904"
"1236","0.8968","0.8968","0.8968"
"1238","0.8936","0.8936","0.8936"
"1241","0.9004","0.9004","0.9004"
"1243","0.8932","0.8932","0.8932"
"1246","0.8956","0.8956","0.8956"
"1248","0.904","0.904","0.904"
"1251","0.884","0.884","0.884"
"1253","0.8904","0.8904","0.8904"
"1256","0.9016","0.9016","0.9016"
"1258","0.8916","0.8916","0.8916"
"1261","0.9004","0.9004","0.9004"
"1263","0.9008","0.9008","0.9008"
"1266","0.8924","0.8924","0.8924"
"1268","0.8884","0.8884","0.8884"
"1271","0.8964","0.8964","0.8964"
"1273","0.8948","0.8948","0.8948"
"1276","0.9036","0.9036","0.9036"
"1278","0.9036","0.9036","0.9036"
"1281","0.9","0.9","0.9"
"1283","0.9024","0.9024","0.9024"
"1286","0.8988","0.8988","0.8988"
"1288","0.8968","0.8968","0.8968"
"1291","0.894","0.894","0.894"
"1293","0.894","0.894","0.894"
"1296","0.9","0.9","0.9"
"1298","0.9036","0.9036","0.9036"
"1301","0.8976","0.8976","0.8976"
"1303","0.8924","0.8924","0.8924"
"1306","0.9024","0.9024","0.9024"
"1308","0.9024","0.9024","0.9024"
"1311","0.8904","0.8904","0.8904"
"1313","0.896","0.896","0.896"
"1316","0.8888","0.8888","0.8888"
"1318","0.8952","0.8952","0.8952"
"1321","0.9036","0.9036","0.9036"
"1323","0.8996","0.8996","0.8996"
"1326","0.9024","0.9024","0.9024"
"1328","0.8968","0.8968","0.8968"
"1331","0.898","0.898","0.898"
"1333","0.8956","0.8956","0.8956"
"1336","0.8988","0.8988","0.8988"
"1338","0.9056","0.9056","0.9056"
"1341","0.8916","0.8916","0.8916"
"1343","0.904","0.904","0.904"
"1346","0.8928","0.8928","0.8928"
"1348","0.882","0.882","0.882"
"1351","0.9036","0.9036","0.9036"
"1353","0.8984","0.8984","0.8984"
"1356","0.8992","0.8992","0.8992"
"1358","0.906","0.906","0.906"
"1361","0.8972","0.8972","0.8972"
"1363","0.8908","0.8908","0.8908"
"1366","0.8992","0.8992","0.8992"
"1368","0.9048","0.9048","0.9048"
"1371","0.9012","0.9012","0.9012"
"1373","0.8944","0.8944","0.8944"
"1376","0.9","0.9","0.9"
"1378","0.8892","0.8892","0.8892"
"1381","0.8996","0.8996","0.8996"
